Name,Status,Priority Level,Drop,Info,Manufacturer,Expected Delivery,Price Per Unit,Bulk Price,MOQ,Quantity To Order,Type
SELENE LONGSLEEVE,Techpack In Progress,MEDIUM,,pattern longsleeve all white ribbed fabric,,,,,,,SHIRT
LAVENDER LONGSLEEVE,Techpack In Progress,MEDIUM,,"pattern longsleeve violet and white lines

egyptian cotton two twenty thread",,,,,,,SHIRT
TIGHT SLEEP WHITE TEES,Concept,MEDIUM,,tight stretchy SUPER comfy cozy shirts. longsleeves and shortsleeves. silhouette based. ribbed soft durable cotton,,,,,,,SHIRT
MODEL T SHIRT BLANK,Concept,LOW,,"same as model hoodie, make a perfect t shirt blank but idk, every shirt lowkey should be different not like hoodeis",,,,,,,SHIRT
OLIVINE LOGO STONE KEYCHAIN,Concept,LOW,,,,,,,,,ACCESSORIES
PUPPY HEAD CHARMS/KEYCHAIN,Concept,LOW,,,,,,,,,ACCESSORIES
PERFUMES BASED ON IMAGES,Concept,LOW,,,,,,,,,COSMETICS
WOMENS SLEEP SET,Concept,LOW,,"gentle color, soft, see through material? lot of variants",,,,,,,FULLBODY
IMAGE CHARM,Concept,LOW,,"charm to place an photo into, idk about desing yet",,,,,,,JEWELRY
HOW LUCKY AM I T,Concept,LOW,,graphic tee,,,,,,,SHIRT
ASHTRAY,Concept,LOW,,,,,,,,,HOME
CRYSTAL WHISKEY GLASS,Concept,LOW,,,,,,,,,HOME
PLUSH BAG CHARMS,Concept,LOW,,,,,,,,,MISC
HAIR BRUSH COVER &HAIR BRUSH,Concept,LOW,,,,,,,,,COSMETICS
ANKLET,Concept,LOW,,dont know yet,,,,,,,JEWELRY
BELTS FOR HER,Concept,LOW,,womens belts need ot come up with desings,,,,,,,ACCESSORIES
BABY CORDUROY SKIRT,Concept,LOW,,long skirt baby corduroy,,,,,,,BOTTOM
FUR INSIDE ZIP HOODIE/HOODIE,Concept,LOW,,zip hoodie with fur inside,,,,,,,HOODIE
MINI METAL LOGO HOODIE,Concept,LOW,,"mini metal logo hardware on the sleeve/shoulder? ",,,,,,,HOODIE
CONNECT DOTS PAGE,Concept,,,,,,,,,,PACKAGING
COLORING PAGE,Concept,,,,,,,,,,PACKAGING
