Name,Bulk Price,Drop,Expected Delivery,Info,MOQ,Manufacturer,Price Per Unit,Priority Level,Quantity To Order,Status,Type
COLORING PAGE,,,,,,,,,,Concept,PACKAGING
CONNECT DOTS PAGE,,,,,,,,,,Concept,PACKAGING
PERFUMES BASED ON IMAGES,,,,,,,,LOW,,Concept,COSMETICS
LEATHER TIES BOLD COLORS,,,,ties made out of leather and interesting colors. maybe some metal hardware or some design details? yea forsure,,,,MEDIUM,,Concept,ACCESSORIES
BIG PATCH HOODIE,,,,"https://fr.pinterest.com/pin/125256433379977421/

BIG EMBROIDERED PATCH DESIGN ,DETAILED EXPENSIVE EMBROIDERY, MULTI LAYERED POSSIBLY",,,,HIGH,,Concept,HOODIE
BIG 3D EMBROIDERY HOODIE,,,,https://fr.pinterest.com/pin/633387443748340/,,,,HIGH,,Concept,HOODIE
PUPPY HEAD CHARMS/KEYCHAIN,,,,,,,,LOW,,Concept,ACCESSORIES
CERAMIC ANIMALS DECORATIONS,,,,,,,,HIGH,,Concept,HOME
OLIVINE LOGO STONE KEYCHAIN,,,,,,,,LOW,,Concept,ACCESSORIES
XOLOD HOODIE,,,,just a graphic hoodie,,,,MEDIUM,,Concept,HOODIE
GIFT WRAPPING,,,,,,,,HIGH,,Concept,HOME
METAL LICENSE PLATE HOLDER,,,,"license palte holder for cars, probably like eu friendly ? ",,,,HIGH,,Concept,ACCESSORIES
LIPSTICK SILVER STAND,,,,,,,,HIGH,,Concept,COSMETICS
MODEL T SHIRT BLANK,,,,"same as model hoodie, make a perfect t shirt blank but idk, every shirt lowkey should be different not like hoodeis",,,,LOW,,Concept,SHIRT
CUSTOM NAME ENGRAVED METAL KEYCHAINS,,,,have to come up with design but it would be custom to order and have custom name engraved need to think about the logitstic of this. maybe premade letters or something idk,,,,MEDIUM,,Concept,ACCESSORIES
PLUSHIES COLLECTION WITH MAX,,,,plushies toys collection,,,,HIGH,,Concept,ACCESSORIES
WOMENS TIGHTS,,,,more designs i need to come up with,,,,FOCUS,,Concept,ACCESSORIES
SEWN IN JEWELRY IN JERSEY JACKET WITH PATTERN,,,,,,,,FOCUS,,Concept,JACKET
MATCH METAL BOX ENGRAVED,,,,,,,,HIGH,,Concept,ACCESSORIES
